
==================== Torch Seed: 8197749607500

Model parameters

Layer: layer1.W0 | Size: torch.Size([17992, 200])
Layer: layer2.W0 | Size: torch.Size([200, 52])

Data statistics

  Edges    Classes    Train samples    Val samples    Test samples
-------  ---------  ---------------  -------------  --------------
  17992         52             5879            653            2568

Epoch:0001, train_loss=4.27194, train_acc=0.00357, val_loss=3.94876, val_acc=0.18683, time=0.42200
Epoch:0002, train_loss=3.93287, train_acc=0.17690, val_loss=3.91619, val_acc=0.44104, time=0.47400
Epoch:0003, train_loss=3.63598, train_acc=0.43919, val_loss=3.88960, val_acc=0.59418, time=0.47899
Epoch:0004, train_loss=3.39549, train_acc=0.59568, val_loss=3.87193, val_acc=0.64165, time=0.43600
Epoch:0005, train_loss=3.23642, train_acc=0.65062, val_loss=3.86233, val_acc=0.66616, time=0.39400
Epoch:0006, train_loss=3.15060, train_acc=0.67256, val_loss=3.85701, val_acc=0.67841, time=0.36501
Epoch:0007, train_loss=3.10287, train_acc=0.68991, val_loss=3.85315, val_acc=0.69525, time=0.40800
Epoch:0008, train_loss=3.06678, train_acc=0.71356, val_loss=3.84959, val_acc=0.72435, time=0.35800
Epoch:0009, train_loss=3.03221, train_acc=0.73567, val_loss=3.84615, val_acc=0.74119, time=0.42599
Epoch:0010, train_loss=2.99812, train_acc=0.76084, val_loss=3.84299, val_acc=0.77182, time=0.35600
Epoch:0011, train_loss=2.96647, train_acc=0.78993, val_loss=3.84033, val_acc=0.79020, time=0.35801
Epoch:0012, train_loss=2.93938, train_acc=0.82021, val_loss=3.83824, val_acc=0.81930, time=0.37001
Epoch:0013, train_loss=2.91747, train_acc=0.84385, val_loss=3.83657, val_acc=0.82389, time=0.35399
Epoch:0014, train_loss=2.89955, train_acc=0.86052, val_loss=3.83515, val_acc=0.83002, time=0.41697
Epoch:0015, train_loss=2.88399, train_acc=0.87362, val_loss=3.83386, val_acc=0.84533, time=0.48300
Epoch:0016, train_loss=2.86970, train_acc=0.88093, val_loss=3.83265, val_acc=0.85605, time=0.35900
Epoch:0017, train_loss=2.85619, train_acc=0.88927, val_loss=3.83151, val_acc=0.86983, time=0.43799
Epoch:0018, train_loss=2.84338, train_acc=0.89471, val_loss=3.83044, val_acc=0.87443, time=0.35501
Epoch:0019, train_loss=2.83136, train_acc=0.90424, val_loss=3.82947, val_acc=0.88361, time=0.44099
Epoch:0020, train_loss=2.82024, train_acc=0.91121, val_loss=3.82860, val_acc=0.89280, time=0.35799
Epoch:0021, train_loss=2.81008, train_acc=0.91903, val_loss=3.82782, val_acc=0.90199, time=0.36499
Epoch:0022, train_loss=2.80083, train_acc=0.92533, val_loss=3.82712, val_acc=0.90352, time=0.40200
Epoch:0023, train_loss=2.79240, train_acc=0.93043, val_loss=3.82648, val_acc=0.91118, time=0.39400
Epoch:0024, train_loss=2.78465, train_acc=0.93553, val_loss=3.82588, val_acc=0.91271, time=0.43000
Epoch:0025, train_loss=2.77743, train_acc=0.93979, val_loss=3.82529, val_acc=0.91118, time=0.46000
Epoch:0026, train_loss=2.77064, train_acc=0.94438, val_loss=3.82471, val_acc=0.91271, time=0.45001
Epoch:0027, train_loss=2.76424, train_acc=0.94761, val_loss=3.82416, val_acc=0.91577, time=0.50400
Epoch:0028, train_loss=2.75823, train_acc=0.95016, val_loss=3.82363, val_acc=0.91884, time=0.51301
Epoch:0029, train_loss=2.75262, train_acc=0.95305, val_loss=3.82314, val_acc=0.92037, time=0.37100
Epoch:0030, train_loss=2.74739, train_acc=0.95594, val_loss=3.82268, val_acc=0.92190, time=0.35600
Epoch:0031, train_loss=2.74252, train_acc=0.95765, val_loss=3.82227, val_acc=0.92190, time=0.42601
Epoch:0032, train_loss=2.73798, train_acc=0.95986, val_loss=3.82191, val_acc=0.92037, time=0.44100
Epoch:0033, train_loss=2.73376, train_acc=0.96258, val_loss=3.82158, val_acc=0.92037, time=0.38901
Epoch:0034, train_loss=2.72983, train_acc=0.96462, val_loss=3.82128, val_acc=0.91884, time=0.38399
Epoch:0035, train_loss=2.72614, train_acc=0.96564, val_loss=3.82101, val_acc=0.91884, time=0.46900
Epoch:0036, train_loss=2.72268, train_acc=0.96649, val_loss=3.82076, val_acc=0.91730, time=0.35801
Epoch:0037, train_loss=2.71941, train_acc=0.96870, val_loss=3.82052, val_acc=0.91730, time=0.35401
Epoch:0038, train_loss=2.71631, train_acc=0.97108, val_loss=3.82029, val_acc=0.92037, time=0.35300
Epoch:0039, train_loss=2.71338, train_acc=0.97346, val_loss=3.82007, val_acc=0.92190, time=0.36001
Epoch:0040, train_loss=2.71059, train_acc=0.97585, val_loss=3.81986, val_acc=0.92496, time=0.35298
Epoch:0041, train_loss=2.70796, train_acc=0.97755, val_loss=3.81965, val_acc=0.92649, time=0.35701
Epoch:0042, train_loss=2.70549, train_acc=0.97806, val_loss=3.81945, val_acc=0.92649, time=0.43601
Epoch:0043, train_loss=2.70317, train_acc=0.97959, val_loss=3.81927, val_acc=0.92956, time=0.38699
Epoch:0044, train_loss=2.70102, train_acc=0.98112, val_loss=3.81909, val_acc=0.92956, time=0.38700
Epoch:0045, train_loss=2.69904, train_acc=0.98265, val_loss=3.81892, val_acc=0.93109, time=0.38803
Epoch:0046, train_loss=2.69721, train_acc=0.98401, val_loss=3.81875, val_acc=0.93109, time=0.35599
Epoch:0047, train_loss=2.69552, train_acc=0.98537, val_loss=3.81860, val_acc=0.93415, time=0.45201
Epoch:0048, train_loss=2.69397, train_acc=0.98639, val_loss=3.81845, val_acc=0.93415, time=0.39400
Epoch:0049, train_loss=2.69254, train_acc=0.98707, val_loss=3.81831, val_acc=0.93568, time=0.35000
Epoch:0050, train_loss=2.69121, train_acc=0.98775, val_loss=3.81818, val_acc=0.93721, time=0.42600
Epoch:0051, train_loss=2.68996, train_acc=0.98860, val_loss=3.81805, val_acc=0.94028, time=0.44599
Epoch:0052, train_loss=2.68879, train_acc=0.98911, val_loss=3.81793, val_acc=0.94028, time=0.46600
Epoch:0053, train_loss=2.68768, train_acc=0.98945, val_loss=3.81782, val_acc=0.94028, time=0.39600
Epoch:0054, train_loss=2.68662, train_acc=0.98996, val_loss=3.81771, val_acc=0.94181, time=0.35401
Epoch:0055, train_loss=2.68562, train_acc=0.99013, val_loss=3.81760, val_acc=0.94181, time=0.42600
Epoch:0056, train_loss=2.68466, train_acc=0.99030, val_loss=3.81751, val_acc=0.94181, time=0.41501
Epoch:0057, train_loss=2.68374, train_acc=0.99098, val_loss=3.81741, val_acc=0.94181, time=0.40499
Epoch:0058, train_loss=2.68287, train_acc=0.99133, val_loss=3.81733, val_acc=0.94181, time=0.50801
Epoch:0059, train_loss=2.68205, train_acc=0.99167, val_loss=3.81725, val_acc=0.94181, time=0.42599
Epoch:0060, train_loss=2.68126, train_acc=0.99201, val_loss=3.81717, val_acc=0.94181, time=0.45600
Epoch:0061, train_loss=2.68052, train_acc=0.99201, val_loss=3.81710, val_acc=0.94181, time=0.35200
Epoch:0062, train_loss=2.67982, train_acc=0.99269, val_loss=3.81703, val_acc=0.94181, time=0.35601
Epoch:0063, train_loss=2.67916, train_acc=0.99269, val_loss=3.81696, val_acc=0.94028, time=0.36700
Epoch:0064, train_loss=2.67853, train_acc=0.99303, val_loss=3.81689, val_acc=0.94181, time=0.37000
Epoch:0065, train_loss=2.67793, train_acc=0.99337, val_loss=3.81683, val_acc=0.94181, time=0.41900
Epoch:0066, train_loss=2.67736, train_acc=0.99354, val_loss=3.81676, val_acc=0.94181, time=0.36201
Epoch:0067, train_loss=2.67682, train_acc=0.99388, val_loss=3.81670, val_acc=0.94181, time=0.48900
Epoch:0068, train_loss=2.67630, train_acc=0.99388, val_loss=3.81664, val_acc=0.94028, time=0.47900
Epoch:0069, train_loss=2.67581, train_acc=0.99405, val_loss=3.81658, val_acc=0.94028, time=0.38000
Epoch:0070, train_loss=2.67533, train_acc=0.99422, val_loss=3.81651, val_acc=0.94028, time=0.36801
Epoch:0071, train_loss=2.67487, train_acc=0.99490, val_loss=3.81645, val_acc=0.94028, time=0.45299
Epoch:0072, train_loss=2.67443, train_acc=0.99507, val_loss=3.81639, val_acc=0.93874, time=0.48200
Epoch:0073, train_loss=2.67401, train_acc=0.99524, val_loss=3.81634, val_acc=0.93874, time=0.45301
Epoch:0074, train_loss=2.67361, train_acc=0.99541, val_loss=3.81628, val_acc=0.94028, time=0.44700
Epoch:0075, train_loss=2.67322, train_acc=0.99558, val_loss=3.81622, val_acc=0.94181, time=0.38400
Epoch:0076, train_loss=2.67285, train_acc=0.99558, val_loss=3.81617, val_acc=0.94181, time=0.37700
Epoch:0077, train_loss=2.67250, train_acc=0.99575, val_loss=3.81612, val_acc=0.94181, time=0.40100
Epoch:0078, train_loss=2.67217, train_acc=0.99592, val_loss=3.81608, val_acc=0.94181, time=0.46401
Epoch:0079, train_loss=2.67184, train_acc=0.99592, val_loss=3.81603, val_acc=0.94334, time=0.40099
